symbol,scan_date,category,scan_close,entry_min,entry_max,target,stop_loss,rsi,vol_mult,delivery_pct,del_mult,status,entry_date,entry_price,exit_date,exit_price,pnl_pct,result,days_held,reason
DLF,2026-07-06,HEAVY_DELIVERY,673.3,666.6,680.0,740.6,627.4,70.25,1.43,58.27,2.2,ACTIVE,2026-07-06,677.25,,,,,,
HEXT,2026-07-06,HEAVY_DELIVERY,535.75,530.4,541.1,589.3,503.6,59.63,0.82,89.0,2.28,ACTIVE,2026-07-06,541.1,,,,,,
PHOENIXLTD,2026-07-06,HEAVY_DELIVERY,2105.8,2084.7,2126.9,2316.4,1916.9,81.27,2.57,61.31,2.52,ACTIVE,2026-07-06,2070.0,,,,,,
LODHA,2026-07-06,HEAVY_DELIVERY,1095.9,1084.9,1106.9,1205.5,961.1,78.41,2.07,54.83,2.1,TARGET_HIT,2026-07-06,1063.95,2026-07-13,1205.5,13.3,WIN,8,Target ₹1205.5 hit
GODREJPROP,2026-07-06,HEAVY_DELIVERY,2046.4,2025.9,2066.9,2251.0,1856.6,77.57,1.95,52.13,2.23,ACTIVE,2026-07-06,2016.0,,,,,,
PRESTIGE,2026-07-07,HEAVY_DELIVERY,1673.3,1656.6,1690.0,1840.6,1557.5,71.4,1.52,70.69,2.28,ACTIVE,2026-07-13,1690.0,,,,,,
ETERNAL,2026-07-07,HEAVY_DELIVERY,289.4,286.5,292.3,318.3,266.2,75.42,1.5,65.45,2.0,ACTIVE,2026-07-13,286.1,,,,,,
360ONE,2026-07-07,HEAVY_DELIVERY,1150.1,1138.6,1161.6,1265.1,1081.1,63.3,1.82,68.08,2.48,ACTIVE,2026-07-13,1127.0,,,,,,
HEXT,2026-07-07,HEAVY_DELIVERY,541.0,535.6,546.4,595.1,508.5,61.24,4.01,60.33,4.88,ACTIVE,2026-07-13,546.4,,,,,,
PHOENIXLTD,2026-07-07,HEAVY_DELIVERY,2075.1,2054.3,2095.9,2282.6,1932.0,74.66,3.14,74.18,3.06,ACTIVE,,,,,,,,
INDUSINDBK,2026-07-07,HEAVY_DELIVERY,1022.25,1012.0,1032.5,1124.5,943.0,72.97,2.2,59.42,2.63,ACTIVE,2026-07-13,1010.0,,,,,,
JIOFIN,2026-07-07,HEAVY_DELIVERY,243.07,240.6,245.5,267.4,228.5,57.27,2.02,50.51,2.84,ACTIVE,2026-07-13,239.8,,,,,,
HONAUT,2026-07-13,HEAVY_DELIVERY,38215.0,37832.8,38597.2,42036.5,35922.1,57.84,1.27,63.36,2.32,ACTIVE,2026-07-15,38450.0,,,,,,
360ONE,2026-07-13,HEAVY_DELIVERY,1118.0,1106.8,1129.2,1229.8,1050.9,53.94,2.06,70.66,2.49,ACTIVE,2026-07-15,1104.2,,,,,,
BAJAJ-AUTO,2026-07-13,HEAVY_DELIVERY,10381.0,10277.2,10484.8,11419.1,9758.1,62.08,2.48,64.2,3.59,ACTIVE,2026-07-15,10200.0,,,,,,
AIAENG,2026-07-15,HEAVY_DELIVERY,4828.5,4780.2,4876.8,5311.4,4538.8,58.65,1.46,70.58,2.06,ACTIVE,,,,,,,,
ENDURANCE,2026-07-15,HEAVY_DELIVERY,2746.2,2718.7,2773.7,3020.8,2581.4,62.46,2.26,72.28,3.07,ACTIVE,,,,,,,,
GROWW,2026-07-15,MOMENTUM_BREAKOUT,216.33,214.2,218.5,238.0,201.7,64.27,3.59,21.18,2.32,ACTIVE,,,,,,,,
