entry_time,exit_time,signal_type,strike,entry_price,exit_price,quantity,pnl,pnl_pct,exit_reason,max_profit_pct,max_loss_pct,duration_minutes,hit_breakeven,trailing_activated
2026-01-28 15:02:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82400,272.22,239.01,10,-352.11,-12.2,time_exit,2.86,-20.12,23,False,False
2026-01-29 13:34:00+05:30,2026-01-29 14:09:00+05:30,BUY_CE,82500,124.87,93.56,10,-333.12,-25.08,stoploss,60.96,-30.29,35,False,False
2026-01-29 13:35:00+05:30,2026-01-29 14:07:00+05:30,BUY_CE,82600,91.24,68.36,10,-248.79,-25.07,stoploss,54.26,-31.45,32,False,False
2026-01-29 13:36:00+05:30,2026-01-29 14:07:00+05:30,BUY_CE,82600,87.84,65.81,10,-240.25,-25.08,stoploss,60.24,-28.79,31,False,False
2026-01-29 13:37:00+05:30,2026-01-29 13:51:00+05:30,BUY_CE,82600,77.93,113.19,10,332.64,45.25,trailing_sl,80.62,-8.12,14,False,True
2026-01-29 13:39:00+05:30,2026-01-29 14:06:00+05:30,BUY_CE,82600,93.19,69.82,10,-253.68,-25.07,stoploss,51.03,-26.23,27,False,False
2026-01-29 13:45:00+05:30,2026-01-29 14:04:00+05:30,BUY_CE,82600,110.31,82.65,10,-296.6,-25.08,stoploss,27.59,-28.79,19,False,False
2026-01-29 13:47:00+05:30,2026-01-29 14:04:00+05:30,BUY_CE,82700,77.18,57.82,10,-213.52,-25.08,stoploss,19.34,-38.13,17,False,False
2026-01-29 13:48:00+05:30,2026-01-29 14:04:00+05:30,BUY_CE,82700,73.67,55.2,10,-204.74,-25.07,stoploss,25.01,-35.19,16,False,False
2026-01-29 13:49:00+05:30,2026-01-29 13:55:00+05:30,BUY_CE,82700,78.63,58.91,10,-217.16,-25.07,stoploss,11.22,-25.85,6,False,False
2026-01-29 13:51:00+05:30,2026-01-29 14:04:00+05:30,BUY_CE,82700,71.57,53.62,10,-199.47,-25.08,stoploss,17.57,-33.28,13,False,False
2026-01-29 14:06:00+05:30,2026-01-29 14:12:00+05:30,BUY_PE,82400,72.37,54.22,10,-201.47,-25.08,stoploss,24.98,-45.56,6,False,False
2026-01-29 14:07:00+05:30,2026-01-29 14:12:00+05:30,BUY_PE,82400,74.52,55.84,10,-206.87,-25.08,stoploss,21.37,-47.13,5,False,False
2026-01-29 14:08:00+05:30,2026-01-29 14:11:00+05:30,BUY_PE,82400,78.73,58.99,10,-217.41,-25.08,stoploss,14.89,-27.28,3,False,False
2026-01-29 14:09:00+05:30,2026-01-29 14:11:00+05:30,BUY_PE,82400,83.78,62.77,10,-230.09,-25.08,stoploss,1.81,-31.67,2,False,False
2026-01-29 14:29:00+05:30,2026-01-29 14:40:00+05:30,BUY_CE,82700,61.01,45.71,10,-172.98,-25.07,stoploss,24.81,-32.8,11,False,False
2026-01-29 14:30:00+05:30,2026-01-29 14:35:00+05:30,BUY_CE,82700,63.66,47.7,10,-179.64,-25.08,stoploss,19.61,-26.49,5,False,False
2026-01-29 14:31:00+05:30,2026-01-29 14:35:00+05:30,BUY_CE,82700,67.62,50.66,10,-189.55,-25.08,stoploss,12.62,-30.79,4,False,False
2026-01-29 14:32:00+05:30,2026-01-29 14:38:00+05:30,BUY_CE,82700,62.31,46.69,10,-176.25,-25.08,stoploss,22.21,-26.5,6,False,False
2026-01-29 14:33:00+05:30,2026-01-29 14:35:00+05:30,BUY_CE,82800,38.44,28.8,10,-116.38,-25.08,stoploss,10.31,-37.17,2,False,False
2026-01-29 14:34:00+05:30,2026-01-29 14:35:00+05:30,BUY_CE,82800,37.14,27.82,10,-113.12,-25.08,stoploss,7.04,-34.97,1,False,False
2026-01-29 15:02:00+05:30,2026-01-29 15:03:00+05:30,BUY_PE,82400,7.96,5.96,10,-39.95,-25.08,stoploss,21.26,-76.12,1,False,False
