entry_time,sl_pct,target_pct,total_trades,winners,win_rate,total_pnl,avg_pnl,profit_factor
10:30,40,60,9,5,55.55555555555556,2026.249999999999,225.1388888888888,1.2832925550506815
10:00,20,50,9,4,44.44444444444444,1864.999999999999,207.22222222222211,1.3484353106025222
10:00,35,70,9,5,55.55555555555556,1859.999999999999,206.66666666666657,1.2938968990716964
10:00,30,70,9,5,55.55555555555556,1859.999999999999,206.66666666666657,1.2938968990716964
10:00,25,40,9,5,55.55555555555556,1856.2499999999982,206.2499999999998,1.3420082911100872
10:30,40,40,9,6,66.66666666666666,1841.249999999999,204.58333333333323,1.31793654219728
09:45,25,30,9,5,55.55555555555556,1834.9999999999998,203.88888888888886,1.435349940688019
10:15,30,30,9,5,55.55555555555556,1752.5000000000018,194.72222222222243,1.4352685501397089
09:30,20,30,9,4,44.44444444444444,1571.250000000002,174.58333333333357,1.3820668693009124
10:15,20,30,9,4,44.44444444444444,1157.5000000000014,128.61111111111126,1.3197513812154695
09:45,30,30,9,5,55.55555555555556,1051.2500000000002,116.80555555555559,1.2103025756439112
09:30,40,30,9,6,66.66666666666666,876.2500000000009,97.36111111111121,1.1310525331837729
10:15,25,50,9,4,44.44444444444444,840.0,93.33333333333333,1.1417422484707866
11:00,20,40,9,4,44.44444444444444,750.000000000002,83.33333333333356,1.1837109614206986
10:30,30,50,9,4,44.44444444444444,726.25,80.69444444444444,1.129053753887161
10:00,20,40,9,4,44.44444444444444,634.9999999999991,70.55555555555546,1.1186361513311536
09:45,35,30,9,5,55.55555555555556,603.7500000000002,67.08333333333336,1.1108560936424148
10:00,20,70,9,3,33.33333333333333,517.4999999999986,57.49999999999985,1.083199356913183
10:15,20,50,9,3,33.33333333333333,456.2500000000007,50.69444444444452,1.0976719293550976
09:45,40,40,9,5,55.55555555555556,433.75,48.19444444444444,1.057631622654044
10:15,40,70,9,5,55.55555555555556,395.0,43.888888888888886,1.0576116681859618
10:30,35,50,9,4,44.44444444444444,272.5000000000002,30.277777777777803,1.0448098663926
11:00,20,60,9,3,33.33333333333333,256.2500000000007,28.4722222222223,1.0537352555701183
10:00,20,60,9,3,33.33333333333333,-38.75000000000182,-4.305555555555758,0.9937700964630224
10:30,40,30,9,6,66.66666666666666,-62.49999999999909,-6.944444444444343,0.9892078566803367
